station_name,latitude,longitude,station_start_year,rollout_cluster
Cleveland Pl & Spring St,40.7218158,-73.998,2013-01-01T00:00:00,1
E 25 St & 1 Ave,40.737,-73.97738662,2013-01-01T00:00:00,1
Lexington Ave & Classon Ave,40.68676793,-73.95928168,2013-01-01T00:00:00,1
W 45 St & 6 Ave,40.756687206031792,-73.98291153,2013-01-01T00:00:00,1
Centre St & Chambers St,40.71273266,-74.0046073,2013-01-01T00:00:00,1
Railroad Ave & Kay Ave,40.70531194,-73.97100056,2013-01-01T00:00:00,1
W 46 St & 11 Ave,40.76341379,-73.998,2013-01-01T00:00:00,1
Avenue D & E 3 St,40.72082834,-73.97793172,2013-01-01T00:00:00,1
E 40 St & 5 Ave,40.752062307,-73.9816324043,2013-01-01T00:00:00,1
Pearl St & Hanover Square,40.7047177,-74.00926027,2013-01-01T00:00:00,1
W 17 St & 8 Ave,40.74177603,-74.00149746,2013-01-01T00:00:00,1
Great Jones St,40.72743423,-73.99379025,2013-01-01T00:00:00,1
W 26 St & 8 Ave,40.746,-73.998,2013-01-01T00:00:00,1
E 27 St & 1 Ave,40.739445,-73.976806,2013-01-01T00:00:00,1
Broadway & W 32 St,40.74854862,-73.98808416,2013-01-01T00:00:00,1
Pike St & E Broadway,40.71406667,-73.99293911,2013-01-01T00:00:00,1
Carlton Ave & Park Ave,40.69580705,-73.97355569,2013-01-01T00:00:00,1
E 12 St & 3 Ave,40.73223272,-73.98889957,2013-01-01T00:00:00,1
Allen St & E Houston St,40.722055,-73.989111,2013-01-01T00:00:00,1
Broadway & Battery Pl,40.70463334,-74.01361706,2013-01-01T00:00:00,1
Rivington St & Chrystie St,40.72110063,-73.9919254,2013-01-01T00:00:00,1
Shevchenko Pl & E 6 St,40.728145,-73.990214,2013-01-01T00:00:00,1
Washington Pl & 6 Ave,40.73224119,-74.00026394,2013-01-01T00:00:00,1
E 15 St & 3 Ave,40.734,-73.986923,2013-01-01T00:00:00,1
8 Ave & W 31 St,40.75044999,-73.995,2013-01-01T00:00:00,1
2 Ave & E 31 St,40.74290902,-73.97706058,2013-01-01T00:00:00,1
Willoughby Ave & Walworth St,40.69331716,-73.95381995,2013-01-01T00:00:00,1
Park Pl & Church St,40.713,-74.01,2013-01-01T00:00:00,1
W 53 St & 10 Ave,40.76669671,-73.992,2013-01-01T00:00:00,1
S 5 Pl & S 4 St,40.710451,-73.960876,2013-01-01T00:00:00,1
Christopher St & Greenwich St,40.73291553,-74.00711384,2013-01-01T00:00:00,1
Vesey Pl & River Terrace,40.7153379,-74.01658354,2013-01-01T00:00:00,1
Hudson St & Reade St,40.716,-74.01,2013-01-01T00:00:00,1
Franklin Ave & Myrtle Ave,40.694528,-73.958089,2013-01-01T00:00:00,1
Front St & Maiden Ln,40.70530954,-74.00612572,2013-01-01T00:00:00,1
Broadway & Berry St,40.71044554,-73.96525063,2013-01-01T00:00:00,1
Washington Square E,40.73049393,-73.9957214,2013-01-01T00:00:00,1
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,2013-01-01T00:00:00,1
Broadway & W 39 St,40.75299641,-73.98721619,2013-01-01T00:00:00,1
E 48 St & Madison Ave,40.75666,-73.976684,2013-01-01T00:00:00,1
St Marks Pl & 2 Ave,40.728,-73.98713956,2013-01-01T00:00:00,1
Willoughby St & Fleet St,40.69196566,-73.9813018,2013-01-01T00:00:00,1
Pike St & Monroe St,40.71173107,-73.992,2013-01-01T00:00:00,1
W 43 St & 10 Ave,40.76009437,-73.995,2013-01-01T00:00:00,1
E 31 St & 3 Ave,40.743,-73.98,2013-01-01T00:00:00,1
Pershing Square N,40.75188406,-73.97770164,2013-01-01T00:00:00,1
E 47 St & 1 Ave,40.752,-73.968,2013-01-01T00:00:00,1
Washington St & Gansevoort St,40.739323,-74.008119,2013-01-01T00:00:00,1
E 55 St & Lexington Ave,40.75968085,-73.97031366,2013-01-01T00:00:00,1
Fulton St & Broadway,40.71,-74.01,2013-01-01T00:00:00,1
Grand St & Greene St,40.72165481,-74.002381414175019,2013-01-01T00:00:00,1
Broadway & W 38 St,40.75299641,-73.98721619,2013-01-01T00:00:00,1
11 Ave & W 59 St,40.77,-73.990541,2013-01-01T00:00:00,1
W 38 St & 8 Ave,40.75466591,-73.992,2013-01-01T00:00:00,1
S 4 St & Wythe Ave,40.71285887,-73.96590294,2013-01-01T00:00:00,1
Laight St & Hudson St,40.72185379,-74.00771779,2013-01-01T00:00:00,1
W 42 St & 8 Ave,40.7575699,-73.99098507,2013-01-01T00:00:00,1
Leonard St & Church St,40.717571,-74.007,2013-01-01T00:00:00,1
Fulton St & Clermont Ave,40.68415748,-73.96922273,2013-01-01T00:00:00,1
Lefferts Pl & Franklin Ave,40.68,-73.956,2013-01-01T00:00:00,1
Stanton St & Mangin St,40.71782143,-73.97628939,2013-01-01T00:00:00,1
Watts St & Greenwich St,40.72405549,-74.00965965,2013-01-01T00:00:00,1
E 58 St & 3 Ave,40.76095756,-73.968,2013-01-01T00:00:00,1
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2013-01-01T00:00:00,1
9 Ave & W 16 St,40.74206539,-74.00443172,2013-01-01T00:00:00,1
St James Pl & Oliver St,40.713,-73.99851193,2013-01-01T00:00:00,1
W 27 St & 7 Ave,40.746647,-73.993915,2013-01-01T00:00:00,1
Greenwich St & N Moore St,40.72043411,-74.01020609,2013-01-01T00:00:00,1
Market St & Cherry St,40.71076228,-73.99400398,2013-01-01T00:00:00,1
