,station_name,latitude,longitude,station_start_year,rollout_cluster
168,W 13 St & 5 Ave,40.73543934,-73.99453948,2013-01-01T00:00:00,2013
169,Broadway & W 58 St,40.76695317,-73.98169333,2013-01-01T00:00:00,2013
170,Broadway & W 37 St,40.75172632,-73.989,2013-01-01T00:00:00,2013
171,Macon St & Nostrand Ave,40.6809833854,-73.95004798,2013-01-01T00:00:00,2013
172,Lafayette Ave & Classon Ave,40.689,-73.96023854,2013-01-01T00:00:00,2013
173,Sands St & Gold St,40.69986937,-73.98271933,2013-01-01T00:00:00,2013
174,Harrison St & Hudson St,40.71870987,-74.01,2013-01-01T00:00:00,2013
175,W 45 St & 6 Ave (1),40.7568001,-73.98291153,2013-01-01T00:00:00,2013
176,Duffield St & Willoughby St,40.692,-73.9842844,2013-01-01T00:00:00,2013
177,E 51 St & 1 Ave,40.75455731,-73.96592976,2013-01-01T00:00:00,2013
178,Division St & Bowery,40.71413089,-73.9970468,2013-01-01T00:00:00,2013
179,Lawrence St & Willoughby St,40.692,-73.98631746,2013-01-01T00:00:00,2013
180,Broadway & W 60 St,40.76915505,-73.983,2013-01-01T00:00:00,2013
181,Broadway & E 14 St,40.734,-73.992,2013-01-01T00:00:00,2013
182,Rivington St & Ridge St,40.71850211,-73.98329859,2013-01-01T00:00:00,2013
183,Stanton St & Chrystie St,40.72229346,-73.99147535,2013-01-01T00:00:00,2013
184,Henry St & Atlantic Ave,40.69089272,-73.99612349,2013-01-01T00:00:00,2013
185,Grand St & Havemeyer St,40.71286844,-73.95698119,2013-01-01T00:00:00,2013
186,DeKalb Ave & Hudson Ave,40.689888,-73.981013,2013-01-01T00:00:00,2013
187,Mercer St & Bleecker St S,40.72679454,-73.99695094,2013-01-01T00:00:00,2013
188,W 52 St & 5 Ave,40.75992262,-73.97648516,2013-01-01T00:00:00,2013
189,Willoughby Ave & Hall St,40.69196035,-73.96536851,2013-01-01T00:00:00,2013
190,Joralemon St & Adams St,40.69246277,-73.98963911,2013-01-01T00:00:00,2013
191,E 53 St & Lexington Ave,40.75828065,-73.97069431,2013-01-01T00:00:00,2013
192,Broadway & W 29 St,40.7462009,-73.98855723,2013-01-01T00:00:00,2013
193,Cadman Plaza W & Pierrepont St,40.69475701,-73.99052739143372,2013-01-01T00:00:00,2013
194,1 Ave & E 30 St,40.74,-73.97536082,2013-01-01T00:00:00,2013
195,Fulton St & William St,40.70955958,-74.007,2013-01-01T00:00:00,2013
196,St James Pl & Pearl St,40.71,-74.001,2013-01-01T00:00:00,2013
197,Columbia St & Rivington St,40.71739973,-73.98016555,2013-01-01T00:00:00,2013
198,Water - Whitehall Plaza,40.70255065,-74.0127234,2013-01-01T00:00:00,2013
199,Carmine St & 6 Ave,40.73038599,-74.00214988,2013-01-01T00:00:00,2013
200,Lispenard St & Broadway,40.719,-74.00247214,2013-01-01T00:00:00,2013
201,Bedford Ave & S 9th St,40.70853074,-73.96408963,2013-01-01T00:00:00,2013
202,10 Ave & W 28 St,40.75066386,-74.00176802,2013-01-01T00:00:00,2013
203,E 2 St & 2 Ave,40.7245634290432,-73.99069656,2013-01-01T00:00:00,2013
204,W 41 St & 8 Ave,40.755,-73.9900262,2013-01-01T00:00:00,2013
205,Kent Ave & S 11 St,40.707,-73.96841526031494,2013-01-01T00:00:00,2013
206,E 5 St & Avenue C,40.72299208,-73.97995466,2013-01-01T00:00:00,2013
207,E 15 St & Irving Pl,40.73524276,-73.98758561,2013-01-01T00:00:00,2013
208,Centre St & Worth St,40.71494807,-74.00234482,2013-01-01T00:00:00,2013
209,9 Ave & W 18 St,40.743,-74.004,2013-01-01T00:00:00,2013
210,Suffolk St & Stanton St,40.72066442,-73.98517977,2013-01-01T00:00:00,2013
211,9 Ave & W 45 St,40.76019252,-73.992,2013-01-01T00:00:00,2013
212,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,2013-01-01T00:00:00,2013
213,MLSWKiosk,40.755467,-73.986536,2013-01-01T00:00:00,2013
214,Forsyth St & Canal St,40.7158155,-73.995,2013-01-01T00:00:00,2013
215,Mercer St & Spring St,40.72362738,-73.99949601,2013-01-01T00:00:00,2013
216,W 56 St & 6 Ave,40.76340613,-73.97722479,2013-01-01T00:00:00,2013
217,W 37 St & 10 Ave,40.75660359,-73.998,2013-01-01T00:00:00,2013
218,E 60 St & York Ave,40.758,-73.959223,2013-01-01T00:00:00,2013
219,E 3 St & 1 Ave,40.72467721,-73.98783413,2013-01-01T00:00:00,2013
220,E 39 St & 2 Ave,40.74780373,-73.974,2013-01-01T00:00:00,2013
221,E 17 St & Broadway,40.737,-73.99009296,2013-01-01T00:00:00,2013
222,W 15 St & 7 Ave,40.73935542,-73.99931783,2013-01-01T00:00:00,2013
223,Johnson St & Gold St,40.69474881,-73.98362464,2013-01-01T00:00:00,2013
224,E 11 St & 1 Ave,40.72953837,-73.98426726,2013-01-01T00:00:00,2013
225,E 55 St & 2 Ave,40.75797322,-73.96603308,2013-01-01T00:00:00,2013
226,Cliff St & Fulton St,40.70823502,-74.00530063,2013-01-01T00:00:00,2013
227,South End Ave & Liberty St,40.711512,-74.015756,2013-01-01T00:00:00,2013
228,Broadway & E 22 St,40.7403432,-73.98955109,2013-01-01T00:00:00,2013
229,York St & Jay St,40.7014851,-73.98656928,2013-01-01T00:00:00,2013
230,Canal St & Rutgers St,40.71427487,-73.98990025,2013-01-01T00:00:00,2013
231,E 32 St & Park Ave,40.7457121,-73.983,2013-01-01T00:00:00,2013
232,Pershing Square South,40.751581,-73.97791,2013-01-01T00:00:00,2013
233,Avenue D & E 8 St,40.72368361,-73.975767,2013-01-01T00:00:00,2013
234,Park Ave & St Edwards St,40.69608941,-73.97803415,2013-01-01T00:00:00,2013
235,Allen St & Hester St,40.716,-73.992,2013-01-01T00:00:00,2013
236,E 20 St & 2 Ave,40.73587678,-73.983,2013-01-01T00:00:00,2013
237,W 56 St & 10 Ave,40.767,-73.989,2013-01-01T00:00:00,2013
238,Washington Ave & Park Ave,40.69610226,-73.96751037,2013-01-01T00:00:00,2013
239,Lafayette St & Jersey St N,40.72456089,-73.99565293,2013-01-01T00:00:00,2013
240,Pershing Square North,40.751873,-73.977706,2013-01-01T00:00:00,2013
241,Shevchenko Pl & E 7 St,40.728145,-73.990214,2013-01-01T00:00:00,2013
242,Barclay St & Church St,40.71291224,-74.01020234,2013-01-01T00:00:00,2013
243,W 18 St & 6 Ave,40.73971301,-73.99456405,2013-01-01T00:00:00,2013
244,E 16 St & Irving Pl,40.734,-73.989,2013-01-01T00:00:00,2013
245,E 52 St & 2 Ave,40.756014,-73.967416,2013-01-01T00:00:00,2013
246,E 19 St & 3 Ave,40.73624527,-73.98473765,2013-01-01T00:00:00,2013
247,Franklin St & W Broadway,40.719,-74.007,2013-01-01T00:00:00,2013
248,W 14 St & The High Line,40.74195138,-74.00803013,2013-01-01T00:00:00,2013
249,W 22 St & 8 Ave,40.74475148,-73.99915362,2013-01-01T00:00:00,2013
250,Greenwich Ave & Charles St,40.735238,-74.000271,2013-01-01T00:00:00,2013
251,W 25 St & 6 Ave,40.74395411,-73.99144871,2013-01-01T00:00:00,2013
252,Columbia Heights & Cranberry St,40.70037867,-73.99548059,2013-01-01T00:00:00,2013
253,W 37 St & 5 Ave,40.749,-73.98338988,2013-01-01T00:00:00,2013
254,6 Ave & W 33 St,40.749,-73.989,2013-01-01T00:00:00,2013
255,University Pl & E 14 St,40.734,-73.992085,2013-01-01T00:00:00,2013
256,Fulton St & Rockwell Pl,40.687979,-73.979458,2013-01-01T00:00:00,2013
